"ori","scraper","last_attempt","last_success","duration","overall_from","data_from","data_to","status"
"AR0600200","AR0600200","2026-02-16","2026-01-27","2","2017-01","2025-01","2025-12","bad"
"AZ0030100","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0070100","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0070300","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0070500","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0071100","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0071300","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0071500","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0071700","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0072100","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0072300","AZ0072300","2026-02-16","2026-02-16","47","2017-01","2025-01","2025-12","good"
"AZ0072500","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0072700","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0072900","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0080400","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0100000","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0100300","AZ0100300","2026-02-16","2026-02-16","4","2018-01","2024-04","2026-01","good"
"AZ0100900","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0110000","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0110100","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0111700","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0130000","AZ","2026-02-16","2026-02-16","84","2024-10","2025-02","2026-01","good"
"AZ0131100","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"AZ0140500","AZ","2026-02-16","2026-02-16","84","2017-01","2025-02","2026-01","good"
"CA0070100","CA0070100","2026-02-16","2026-01-27","2","2017-01","2025-01","2025-12","bad"
"CA0070400","CA0070400","2026-02-16","2026-02-16","2","2022-01","2025-01","2025-12","good"
"CA0071000","CA0071000","2026-02-16","2026-02-16","73","2023-01","2025-01","2025-12","good"
"CA0190000","CA0190000","2026-02-16","2026-02-16","6","2017-01","2025-02","2026-01","good"
"CA0190100","CA0190100","2026-02-16","2026-01-27","2","2022-01","2025-01","2025-11","bad"
"CA0192500","CA0192500","2026-02-16","","136","","","","bad"
"CA0194100","CA0194100","2026-02-16","2026-02-16","1,585","2017-01","2024-11","2025-10","good"
"CA0302400","CA0302400","2026-02-16","2026-02-16","2","2017-01","2025-01","2025-12","good"
"CA0331300","CA0331300","2026-02-16","2026-02-14","2","2021-01","2025-02","2026-01","bad"
"CA0370000","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0370100","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0370200","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0370500","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0370600","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0370800","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0370900","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0371000","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0371100","CA","2026-02-16","2026-02-16","22","2017-01","2025-01","2025-12","good"
"CA0390500","CA0390500","2026-02-16","2026-02-16","283","2017-01","2024-11","2025-10","good"
"CA0390600","CA0390600","2026-02-16","2026-02-16","187","2023-01","2025-02","2026-01","good"
"CO0010000","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0010100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0010300","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0010400","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0010500","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0030000","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0031100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0070100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0070400","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0180000","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0180100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0180500","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0210000","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0210100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0300000","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0300100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0300400","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0350300","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0350400","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0390100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0510100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0620200","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CO0640100","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CODPD0000","CO","2026-02-16","2026-01-27","144","2017-01","2025-01","2025-12","bad"
"CT0001500","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0001700","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0003400","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0004300","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0005100","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0005700","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0006200","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0006400","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0007700","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0008000","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0008400","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0008900","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0009300","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0010300","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0013500","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0013800","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0015100","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0015500","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"CT0015600","CT","2026-02-16","2026-02-16","92","2017-01","2025-02","2026-01","good"
"DCMPD0000","DCMPD0000","2026-02-16","2026-02-16","10","2017-01","2025-02","2026-01","good"
"FL0130700","FL0130700","2026-02-16","","2","","","","bad"
"GAAPD0000","GAAPD0000","2026-02-16","2026-02-16","42","2021-01","2025-02","2026-01","good"
"ID0010000","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"ID0010100","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"ID0010300","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"ID0030200","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"ID0100200","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"ID0140100","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"ID0140200","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"ID0280100","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"ID0420200","ID","2026-02-16","2026-02-16","32","2017-01","2025-02","2026-01","good"
"IL0100100","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0160200","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0162100","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0162500","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0162A00","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0163200","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0164A00","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0165M00","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0167200","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0168000","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0168400","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0220000","IL","2026-02-16","2026-02-16","146","2024-10","2025-02","2026-01","good"
"IL0570200","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0580200","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0840200","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0990000","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL0990200","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"IL1010400","IL","2026-02-16","2026-02-16","146","2017-01","2025-02","2026-01","good"
"ILCPD0000","ILCPD0000","2026-02-16","2026-02-16","40","2017-01","2025-02","2026-01","good"
"KY0340200","KY0340200","2026-02-16","2026-02-16","2","2017-01","2022-01","2022-12","good"
"KY0568000","KY0568000","2026-02-16","2026-01-27","1","2017-01","2025-01","2025-12","bad"
"LA0170000","LA0170000","2026-02-16","2026-02-16","27","2018-01","2025-02","2026-01","good"
"LA0170200","LA0170200","2026-02-16","2026-02-16","14","2019-10","2025-02","2026-01","good"
"LANPD0000","LANPD0000","2026-02-16","2026-02-16","72","2017-01","2024-12","2025-11","good"
"MA0010100","MA","2026-02-16","","5","","","","bad"
"MA0022200","MA","2026-02-16","","5","","","","bad"
"MA0030800","MA","2026-02-16","","5","","","","bad"
"MA0031100","MA","2026-02-16","","5","","","","bad"
"MA0031900","MA","2026-02-16","","5","","","","bad"
"MA0051100","MA","2026-02-16","","5","","","","bad"
"MA0051300","MA","2026-02-16","","5","","","","bad"
"MA0051400","MA","2026-02-16","","5","","","","bad"
"MA0051900","MA","2026-02-16","","5","","","","bad"
"MA0052500","MA","2026-02-16","","5","","","","bad"
"MA0070500","MA","2026-02-16","","5","","","","bad"
"MA0071800","MA","2026-02-16","","5","","","","bad"
"MA0091100","MA","2026-02-16","","5","","","","bad"
"MA0091700","MA","2026-02-16","","5","","","","bad"
"MA0091800","MA","2026-02-16","","5","","","","bad"
"MA0092600","MA","2026-02-16","","5","","","","bad"
"MA0092700","MA","2026-02-16","","5","","","","bad"
"MA0093000","MA","2026-02-16","","5","","","","bad"
"MA0093300","MA","2026-02-16","","5","","","","bad"
"MA0093900","MA","2026-02-16","","5","","","","bad"
"MA0094700","MA","2026-02-16","","5","","","","bad"
"MA0110400","MA","2026-02-16","","5","","","","bad"
"MA0112000","MA","2026-02-16","","5","","","","bad"
"MA0112700","MA","2026-02-16","","5","","","","bad"
"MA0120300","MA","2026-02-16","","5","","","","bad"
"MA0122000","MA","2026-02-16","","5","","","","bad"
"MA0130100","MA","2026-02-16","","5","","","","bad"
"MA0130400","MA","2026-02-16","","5","","","","bad"
"MA0146000","MA","2026-02-16","","5","","","","bad"
"MD0160400","MD0160400","2026-02-16","","90","","","","bad"
"MD0172100","MD0172100","2026-02-16","2026-02-16","2","2017-02","2025-02","2026-01","good"
"MDBPD0000","MDBPD0000","2026-02-16","2026-02-16","22","2022-01","2025-02","2026-01","good"
"MI4143600","MI4143600","2026-02-16","","1","","","","bad"
"MI8234900","MI8234900","2026-02-16","2026-02-16","12","2017-01","2025-02","2026-01","good"
"MN0020200","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0020500","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0190100","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0190800","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0191000","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0191100","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0270100","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0270300","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0270600","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0271100","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0271200","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0271700","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0272600","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0272700","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0550100","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0620900","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0690600","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0730400","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0821100","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MN0860000","MN","2026-02-16","2026-02-16","2,794","2021-01","2025-01","2026-01","good"
"MO0100200","MO","2026-02-16","2026-02-16","130","2017-01","2025-02","2026-01","good"
"MO0110100","MO","2026-02-16","2026-02-16","130","2017-01","2025-02","2026-01","good"
