"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","agency_type_name","population","State_ref"
"84","Dearborn Heights, MI","Dearborn Heights",0,4,1,10,9,58,27,2022,12,"MI",15,94,"Dearborn Heights","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,61420,NA,NA,"","Dearborn Heights","MI","Midwest","East North Central","City",61420,"MI"
"85","Dearborn, MI","Dearborn",0,0,3,12,17,125,25,2021,12,"MI",15,167,"Dearborn","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,106747,NA,NA,"","Dearborn","MI","Midwest","East North Central","City",106747,"MI"
"86","Decatur, IL","Decatur",0,1,8,19,61,125,6,2017,1,"IL",28,192,"Decatur","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68789,68301,NA,NA,"","Decatur","IL","Midwest","East North Central","City",68301,"IL"
"87","Denton, TX","Denton",1,15,6,21,25,229,21,2024,1,"TX",43,275,"Denton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",154230,155215,NA,NA,"","Denton","TX","South","West South Central","City",155215,"TX"
"88","Denver, CO","Denver",3,39,121,429,484,1939,960,2020,10,"CO",592,3383,"Denver","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",705264,712222,NA,NA,"","Denver","CO","West","Mountain","City",712222,"CO"
"89","Desoto, TX","Desoto",0,6,4,13,11,46,11,2024,1,"TX",23,68,"Desoto","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55956,56257,NA,NA,"","DeSoto","TX","South","West South Central","City",56257,"TX"
"90","Detroit, MI","Detroit",22,65,229,557,772,1059,739,2017,1,"MI",873,2570,"Detroit","https://data.detroitmi.gov/datasets/rms-crime-incidents","Agency RMS","Open Source",626757,615501,NA,NA,"","Detroit","MI","Midwest","East North Central","City",615501,"MI"
"91","Dublin, OH","Dublin",0,1,1,1,7,33,2,2023,3,"OH",3,42,"Dublin","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",48799,48799,NA,NA,"","Dublin","OH","Midwest","East North Central","City",48827,"OH"
"92","Duluth, MN","Duluth",4,4,5,12,21,204,17,2022,4,"MN",25,242,"Duluth","https://cde.state.mn.us/","State UCR","Open Source",86144,86570,NA,NA,"","Duluth","MN","Midwest","West North Central","City",86570,"MN"
"93","Dunwoody, GA","Dunwoody",0,1,0,3,9,138,14,2017,1,"GA",4,161,"Dunwoody","https://www.dunwoodyga.gov/police/crime-info-stats/crime-comparison","Agency Aggregated","Open Source",50271,52505,NA,NA,"","Dunwoody","GA","South","South Atlantic","City",52505,"GA"
"94","Durham, NC","Durham",2,6,111,165,216,562,71,2017,1,"NC",284,849,"Durham","https://www.durhamnc.gov/Archive.aspx?AMID=195","Agency Aggregated","Open Source",286377,295788,NA,NA,"","Durham","NC","South","South Atlantic","City",295788,"NC"
"95","Eagan, MN","Eagan",0,1,0,5,8,120,10,2021,8,"MN",6,138,"Eagan","https://cde.state.mn.us/","State UCR","Open Source",68518,66943,NA,NA,"Inferred Aug 2020 from annual average","Eagan","MN","Midwest","West North Central","City",66943,"MN"
"96","East Hartford, CT","East Hartford",0,0,1,2,1,56,28,2023,4,"CT",3,85,"East Hartford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",50579,50625,NA,NA,"","East Hartford","CT","Northeast","New England","City",50625,"CT"
"97","Eden Prairie, MN","Eden Prairie",0,0,0,1,3,64,2,2018,12,"MN",1,69,"Eden Prairie","https://cde.state.mn.us/","State UCR","Open Source",62008,61645,NA,NA,"","Eden Prairie","MN","Midwest","West North Central","City",61645,"MN"
"98","Edina, MN","Edina",0,0,0,0,11,63,2,2017,3,"MN",0,76,"Edina","https://cde.state.mn.us/","State UCR","Open Source",53206,51980,NA,NA,"","Edina","MN","Midwest","West North Central","City",51980,"MN"
"99","Edinburg, TX","Edinburg",0,12,6,18,9,144,15,2024,1,"TX",36,168,"Edinburg","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",104987,106137,NA,NA,"","Edinburg","TX","South","West South Central","City",106137,"TX"
"100","El Cajon, CA","El Cajon",0,6,9,32,23,142,37,2020,1,"CA",47,202,"El Cajon","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",104693,103569,NA,NA,"","El Cajon","CA","West","Pacific","City",103569,"CA"
"101","Elyria, OH","Elyria",2,1,0,10,5,34,6,2024,2,"OH",13,45,"Elyria","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",52902,53024,NA,NA,"","Elyria","OH","Midwest","East North Central","City",53024,"OH"
"102","Erie, PA","Erie",0,3,5,35,12,93,9,2023,4,"PA",43,114,"Erie","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",93363,92920,NA,NA,"","Erie","PA","Northeast","Middle Atlantic","City",92920,"PA"
"103","Escondido, CA","Escondido",0,6,11,38,23,172,25,2024,8,"CA",55,220,"Escondido","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",150072,149837,NA,NA,"","Escondido","CA","West","Pacific","City",149837,"CA"
"104","Euclid, OH","Euclid",0,2,5,11,15,76,69,2023,6,"OH",18,160,"Euclid","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",48344,48344,NA,NA,"","Euclid","OH","Midwest","East North Central","City",48170,"OH"
"105","Euless, TX","Euless",0,1,4,5,8,78,19,2024,1,"TX",10,105,"Euless","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",59901,59722,NA,NA,"","Euless","TX","South","West South Central","City",59722,"TX"
"106","Evanston, IL","Evanston",0,0,0,2,27,96,6,2017,1,"IL",2,129,"Evanston","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",76259,74413,NA,NA,"","Evanston","IL","Midwest","East North Central","City",74413,"IL"
"107","Everett, MA","Everett",0,1,2,9,9,31,4,2018,6,"MA",12,44,"Everett","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",48340,48340,NA,NA,"","Everett","MA","Northeast","New England","City",49740,"MA"
"108","Fairfield, CT","Fairfield",0,0,1,1,4,61,9,2023,2,"CT",2,74,"Fairfield","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",62270,63588,NA,NA,"","Fairfield","CT","Northeast","New England","City",63588,"CT"
"109","Fall River, MA","Fall River",0,5,7,47,21,54,23,2018,3,"MA",59,98,"Fall River","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",94339,93879,NA,NA,"","Fall River","MA","Northeast","New England","City",93879,"MA"
"110","Farmington Hills, MI","Farmington Hills",0,1,1,5,4,52,18,2023,4,"MI",7,74,"Farmington Hills","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,82223,NA,NA,"","Farmington Hills","MI","Midwest","East North Central","City",82223,"MI"
"111","Fayetteville, NC","Fayetteville",2,NA,26,79,177,550,32,2017,1,"NC",107,759,"Fayetteville","https://data.fayettevillenc.gov/search?tags=incidents","Agency RMS","Open Source",208980,209262,NA,NA,"","Fayetteville","NC","South","South Atlantic","City",209262,"NC"
"112","Flint, MI","Flint",2,12,14,144,63,97,26,2018,3,"MI",172,186,"Flint","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,79234,NA,NA,"","Flint","MI","Midwest","East North Central","City",79234,"MI"
"113","Florissant, MO","Florissant",1,0,2,4,6,67,8,2017,2,"MO",7,81,"Florissant","https://showmecrime.mo.gov/","State UCR","Open Source",51565,51045,NA,NA,"","Florissant","MO","Midwest","West North Central","City",51045,"MO"
"114","Flower Mound, TX","Flower Mound",0,0,0,3,6,31,1,2024,1,"TX",3,38,"Flower Mound","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",78167,79513,NA,NA,"","Flower Mound","TX","South","West South Central","City",79513,"TX"
"115","Fort Collins, CO","Fort Collins",0,6,8,18,33,261,32,2020,7,"CO",32,326,"Fort Collins","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",168045,168886,NA,NA,"","Fort Collins","CO","West","Mountain","City",168886,"CO"
"116","Fort Worth, TX","Fort Worth",3,81,52,194,332,1415,548,2024,1,"TX",330,2295,"Fort Worth","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",948605,973722,NA,NA,"","Fort Worth","TX","South","West South Central","City",973722,"TX"
"117","Franklin, TN","Franklin",0,3,2,14,6,86,3,2017,1,"TN",19,95,"Franklin","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",88315,88315,NA,NA,"","Franklin","TN","South","East South Central","City",88315,"TN"
"118","Fremont, CA","Fremont",0,3,14,11,89,340,94,2017,1,"CA",28,523,"Fremont","https://www.fremontpolice.gov/","Agency Aggregated","Provided by Agency",223430,220775,NA,NA,"","Fremont","CA","West","Pacific","City",220775,"CA"
"119","Frisco, TX","Frisco",0,2,1,17,16,155,11,2024,1,"TX",20,182,"Frisco","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",218962,228527,NA,NA,"","Frisco","TX","South","West South Central","City",228527,"TX"
"120","Galveston, TX","Galveston",1,6,8,8,7,56,6,2024,1,"TX",23,69,"Galveston","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",52920,52810,NA,NA,"","Galveston","TX","South","West South Central","City",52810,"TX"
"121","Garland, TX","Garland",4,7,10,18,56,263,97,2024,1,"TX",39,416,"Garland","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",241095,240051,NA,NA,"","Garland","TX","South","West South Central","City",240051,"TX"
"122","Georgetown, TX","Georgetown",0,6,0,8,17,70,7,2024,1,"TX",14,94,"Georgetown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83371,87871,NA,NA,"","Georgetown","TX","South","West South Central","City",87871,"TX"
"123","Gilbert, AZ","Gilbert",0,6,2,15,10,161,11,2023,4,"AZ",23,182,"Gilbert","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",277123,278495,NA,NA,"","Gilbert","AZ","West","Mountain","City",278495,"AZ"
"124","Glendale, AZ","Glendale",1,16,22,81,63,365,95,2023,2,"AZ",120,523,"Glendale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",250466,253768,NA,NA,"","Glendale","AZ","West","Mountain","City",253768,"AZ"
"125","Glendale, CA","Glendale",0,2,9,18,61,208,32,2017,1,"CA",29,301,"Glendale","https://www.glendaleca.gov/government/departments/police-department/community-outreach-resources-and-engagement-c-o-r-e/crime-prevention-programs-resources/crime-statistics-booking-logs","Agency Aggregated","Open Source",188599,185923,NA,NA,"","Glendale","CA","West","Pacific","City",185923,"CA"
"126","Goodyear, AZ","Goodyear",1,3,2,13,17,127,10,2017,2,"AZ",19,154,"Goodyear","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",107212,109929,NA,NA,"","Goodyear","AZ","West","Mountain","City",109929,"AZ"
"127","Grand Island, NE","Grand Island",0,3,0,20,10,79,9,2023,7,"NE",23,98,"Grand Island","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",51733,52264,NA,NA,"","Grand Island","NE","Midwest","West North Central","City",52264,"NE"
"128","Grand Junction, CO","Grand Junction",0,4,4,29,46,218,36,2020,8,"CO",37,300,"Grand Junction","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",68126,69240,NA,NA,"","Grand Junction","CO","West","Mountain","City",69240,"CO"
"129","Grand Prairie, TX","Grand Prairie",1,2,8,30,32,183,55,2024,1,"TX",41,270,"Grand Prairie","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",199663,205487,NA,NA,"","Grand Prairie","TX","South","West South Central","City",205487,"TX"
"130","Grand Rapids, MI","Grand Rapids",1,11,16,89,41,289,82,2017,1,"MI",117,412,"Grand Rapids","https://grpd-grandrapids.hub.arcgis.com/","Agency RMS","Open Source",196662,196019,NA,NA,"","Grand Rapids","MI","Midwest","East North Central","City",196019,"MI"
"131","Grapevine, TX","Grapevine",0,0,0,11,8,53,19,2024,1,"TX",11,80,"Grapevine","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",50988,51458,NA,NA,"","Grapevine","TX","South","West South Central","City",51458,"TX"
"132","Greeley, CO","Greeley",2,8,8,75,30,208,52,2024,7,"CO",93,290,"Greeley","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",109258,109183,NA,NA,"","Greeley","CO","West","Mountain","City",109183,"CO"
"133","Green Township, OH","Green Township",0,0,2,3,1,50,6,2024,2,"OH",5,57,"Green Township","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",59568,59277,NA,NA,"","Green Township","OH","Midwest","East North Central","City",59277,"OH"
"134","Greensboro, NC","Greensboro",2,6,43,112,192,571,47,2017,1,"NC",163,810,"Greensboro","https://data.greensboro-nc.gov/pages/385998aa22e940999b05b6c3b6dcad03","Agency Aggregated","Provided by Agency",298719,303237,NA,NA,"","Greensboro","NC","South","South Atlantic","City",303237,"NC"
"135","Hamden, CT","Hamden",0,1,1,14,3,72,9,2017,2,"CT",16,84,"Hamden","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",60831,60691,NA,NA,"","Hamden","CT","Northeast","New England","City",60691,"CT"
"136","Hampton, VA","Hampton",2,3,15,8,45,298,42,2017,11,"VA",28,385,"Hampton","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",138843,138533,NA,NA,"","Hampton","VA","South","South Atlantic","City",138533,"VA"
"137","Harlingen, TX","Harlingen",0,1,4,8,17,96,24,2024,1,"TX",13,137,"Harlingen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",72047,71581,NA,NA,"","Harlingen","TX","South","West South Central","City",71581,"TX"
"138","Harrisburg, PA","Harrisburg",0,2,4,25,10,30,16,2023,2,"PA",31,56,"Harrisburg","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",50201,50229,NA,NA,"","Harrisburg","PA","Northeast","Middle Atlantic","City",50229,"PA"
"139","Harrisonburg, VA","Harrisonburg",0,1,1,4,8,50,4,2017,5,"VA",6,62,"Harrisonburg","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",51363,50928,NA,NA,"","Harrisonburg","VA","South","South Atlantic","City",50928,"VA"
"140","Hartford, CT","Hartford",4,6,34,71,53,289,68,2017,1,"CT",115,410,"Hartford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",120196,120710,NA,NA,"","Hartford","CT","Northeast","New England","City",120710,"CT"
"141","Haverford, PA","Haverford",0,0,0,2,3,60,2,2017,2,"PA",2,65,"Haverford","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",50505,50505,NA,NA,"","Haverford Township","PA","Northeast","Middle Atlantic","City",50505,"PA"
"142","Haverhill, MA","Haverhill",0,0,5,38,18,60,16,2017,1,"MA",43,94,"Haverhill","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",67359,67133,NA,NA,"","Haverhill","MA","Northeast","New England","City",67133,"MA"
"143","Henderson, NV","Henderson",0,5,19,45,67,315,135,2024,1,"NV",69,517,"Henderson","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",325332,337794,NA,NA,"","Henderson","NV","West","Mountain","City",337794,"NV"
"144","Hendersonville, TN","Hendersonville",0,0,2,5,8,69,4,2017,1,"TN",7,81,"Hendersonville","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",63291,63291,NA,NA,"","Hendersonville","TN","South","East South Central","City",63291,"TN"
"145","Honolulu, HI","Honolulu",4,NA,78,82,252,1782,332,2017,1,"HI",164,2366,"Honolulu","https://www.honolulupd.org/dashboard/crime-by-category/","Agency Aggregated","Open Source",994799,987546,NA,NA,"","Honolulu","HI","West","Pacific","City",987546,"HI"
"146","Houston, TX","Houston",24,113,570,1241,1176,5681,1735,2024,1,"TX",1948,8592,"Houston","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",2276533,2304406,NA,NA,"","Houston","TX","South","West South Central","City",2304406,"TX"
"147","Idaho Falls, ID","Idaho Falls",0,7,2,9,23,54,11,2018,1,"ID",18,88,"Idaho Falls","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68162,68662,NA,NA,"","Idaho Falls","ID","West","Mountain","City",68662,"ID"
"148","Independence, MO","Independence",1,18,8,65,61,334,125,2022,7,"MO",92,520,"Independence","https://showmecrime.mo.gov/","State UCR","Open Source",121255,120326,NA,NA,"","Independence","MO","Midwest","West North Central","City",120326,"MO"
"149","Indianapolis, IN","Indianapolis",9,45,379,974,989,2324,496,2017,1,"IN",1407,3809,"Indianapolis","https://www.indy.gov/agency/indianapolis-metropolitan-police-department","Agency Aggregated","Provided by Agency",886455,887131,NA,NA,"","Indianapolis","IN","Midwest","East North Central","City",887131,"IN"
"150","Irving, TX","Irving",2,17,14,23,52,335,85,2024,1,"TX",56,472,"Irving","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",254141,255203,NA,NA,"","Irving","TX","South","West South Central","City",255203,"TX"
"151","Jackson, TN","Jackson",0,3,5,29,48,208,13,2017,1,"TN",37,269,"Jackson","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",68470,68470,NA,NA,"","Jackson","TN","South","East South Central","City",68470,"TN"
"152","Johnson City, TN","Johnson City",0,0,3,15,31,219,12,2017,1,"TN",18,262,"Johnson City","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",73225,73225,NA,NA,"","Johnson City","TN","South","East South Central","City",73225,"TN"
"153","Joplin, MO","Joplin",1,4,6,18,29,212,23,2017,1,"MO",29,264,"Joplin","https://showmecrime.mo.gov/","State UCR","Open Source",51989,52881,NA,NA,"","Joplin","MO","Midwest","West North Central","City",52881,"MO"
"154","Kansas City, MO","Kansas City",12,25,71,348,195,966,420,2021,2,"MO",456,1581,"Kansas City","https://showmecrime.mo.gov/","State UCR","Open Source",508856,509855,NA,NA,"","Kansas City","MO","Midwest","West North Central","City",509855,"MO"
"155","Kentwood, MI","Kentwood",0,5,1,6,15,97,7,2018,5,"MI",12,119,"Kentwood","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,53979,NA,NA,"","Kentwood","MI","Midwest","East North Central","City",53979,"MI"
"156","Killeen, TX","Killeen",0,7,5,43,22,100,58,2024,1,"TX",55,180,"Killeen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",159546,161968,NA,NA,"","Killeen","TX","South","West South Central","City",161968,"TX"
"157","Kingsport, TN","Kingsport",2,2,8,25,25,165,18,2017,1,"TN",37,208,"Kingsport","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",56522,56522,NA,NA,"","Kingsport","TN","South","East South Central","City",56522,"TN"
"158","Knoxville, TN","Knoxville",2,13,48,94,133,623,93,2017,1,"TN",157,849,"Knoxville","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency Aggregated","Provided by Agency",194724,198132,NA,NA,"","Knoxville","TN","South","East South Central","City",198132,"TN"
"159","Kyle, TX","Kyle",0,2,1,10,6,26,5,2024,1,"TX",13,37,"Kyle","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",57724,63931,NA,NA,"","Kyle","TX","South","West South Central","City",63931,"TX"
"160","La Mesa, CA","La Mesa",0,6,11,6,16,56,11,2019,2,"CA",23,83,"La Mesa","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",60333,60008,NA,NA,"","La Mesa","CA","West","Pacific","City",60008,"CA"
"161","Lake Havasu City, AZ","Lake Havasu City",0,0,1,8,17,69,8,2017,1,"AZ",9,94,"Lake Havasu City","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",59166,59720,NA,NA,"","Lake Havasu City","AZ","West","Mountain","City",59720,"AZ"
"162","Lakeville, MN","Lakeville",0,3,1,2,6,41,1,2019,1,"MN",6,48,"Lakeville","https://cde.state.mn.us/","State UCR","Open Source",75548,76929,NA,NA,"","Lakeville","MN","Midwest","West North Central","City",76929,"MN"
"163","Lakewood, CO","Lakewood",0,10,10,49,104,487,116,2018,4,"CO",69,707,"Lakewood","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",157068,156065,NA,NA,"","Lakewood","CO","West","Mountain","City",156065,"CO"
"164","Lancaster, PA","Lancaster",0,13,12,20,16,124,8,2017,1,"PA",45,148,"Lancaster","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",57295,57213,NA,NA,"","Lancaster","PA","Northeast","Middle Atlantic","City",57213,"PA"
"165","Lansing, MI","Lansing",0,7,15,65,59,153,22,2020,2,"MI",87,234,"Lansing","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,112529,NA,NA,"","Lansing","MI","Midwest","East North Central","City",112529,"MI"
"166","Laredo, TX","Laredo",0,10,12,71,29,255,22,2024,1,"TX",93,306,"Laredo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",256973,256542,NA,NA,"","Laredo","TX","South","West South Central","City",256542,"TX"
"167","Las Vegas, NV","Las Vegas",11,NA,357,395,1248,2461,678,2017,1,"NV",763,4387,"Las Vegas","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",1667961,1670226,NA,NA,"","Las Vegas Metropolitan Police Department","NV","West","Mountain","City",1670226,"NV"
"168","League City, TX","League City",0,3,1,7,24,87,7,2024,1,"TX",11,118,"League City","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",116511,115791,NA,NA,"","League City","TX","South","West South Central","City",115791,"TX"
"169","Leander, TX","Leander",0,5,0,2,14,58,5,2024,1,"TX",7,77,"Leander","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",73905,82228,NA,NA,"","Leander","TX","South","West South Central","City",82228,"TX"
"170","Lee's Summit, MO","Lee's Summit",0,2,0,5,6,55,13,2022,10,"MO",7,74,"Lee's Summit","https://showmecrime.mo.gov/","State UCR","Open Source",103976,104402,NA,NA,"","Lee's Summit","MO","Midwest","West North Central","City",104402,"MO"
"171","Lewisville, TX","Lewisville",1,6,4,7,11,117,30,2024,1,"TX",18,158,"Lewisville","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",113568,133694,NA,NA,"","Lewisville","TX","South","West South Central","City",133694,"TX"
"172","Lexington, KY","Lexington",2,9,47,28,246,726,111,2017,1,"KY",86,1083,"Lexington","https://www.lexingtonky.gov/crime-data","Agency Aggregated","Open Source",320983,319994,NA,NA,"","Lexington","KY","South","East South Central","City",319994,"KY"
"173","Lincoln, NE","Lincoln",0,23,10,55,123,582,60,2020,12,"NE",88,765,"Lincoln","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",293937,293155,NA,NA,"","Lincoln","NE","Midwest","West North Central","City",293155,"NE"
"174","Little Elm, TX","Little Elm",0,2,1,1,0,8,1,2024,1,"TX",4,9,"Little Elm","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55340,59954,NA,NA,"","Little Elm","TX","South","West South Central","City",59954,"TX"
