"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","agency_type_name","population","State_ref"
"175","Little Rock, AR","Little Rock",3,14,55,231,173,858,119,2017,1,"AR",303,1150,"Little Rock","https://www.littlerock.gov/media/21988/part-i-offenses-by-month.pdf","Agency Aggregated","Open Source",201513,202986,NA,NA,"","Little Rock","AR","South","West South Central","City",202986,"AR"
"176","Livonia, MI","Livonia",0,1,1,6,8,70,11,2024,12,"MI",8,89,"Livonia","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,93042,NA,NA,"","Livonia","MI","Midwest","East North Central","City",93042,"MI"
"177","Long Beach, CA","Long Beach",4,10,85,100,257,678,265,2017,1,"CA",199,1200,"Long Beach","https://www.longbeach.gov/police/crime-info/crime-statistics/","Agency Aggregated","Open Source",447528,444415,NA,NA,"","Long Beach","CA","West","Pacific","City",444415,"CA"
"178","Longmont, CO","Longmont",0,9,6,25,26,139,38,2018,1,"CO",40,203,"Longmont","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",101159,98444,NA,NA,"","Longmont","CO","West","Mountain","City",98444,"CO"
"179","Longview, TX","Longview",1,1,2,18,31,122,13,2024,1,"TX",22,166,"Longview","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",81811,82981,NA,NA,"","Longview","TX","South","West South Central","City",82981,"TX"
"180","Lorain, OH","Lorain",3,2,4,12,14,71,4,2021,2,"OH",21,89,"Lorain","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",65536,65436,NA,NA,"","Lorain","OH","Midwest","East North Central","City",65436,"OH"
"181","Los Angeles, CA","Los Angeles",33,NA,NA,NA,NA,NA,NA,2017,1,"CA",33,0,"Los Angeles","https://www.lapdonline.org/","Agency Aggregated","Provided by Agency",3809182,3786018,NA,NA,"","Los Angeles","CA","West","Pacific","City",3786018,"CA"
"182","Louisville, KY","Louisville",6,39,112,209,539,1757,382,2017,1,"KY",366,2678,"Louisville","https://data.louisvilleky.gov/search?tags=lmpd","Agency RMS","Open Source",677554,669468,NA,NA,"","Louisville Metro","KY","South","East South Central","City",669468,"KY"
"183","Loveland, CO","Loveland",0,4,2,16,10,94,12,2021,5,"CO",22,116,"Loveland","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",77770,78656,NA,NA,"","Loveland","CO","West","Mountain","City",78656,"CO"
"184","Lower Merion, PA","Lower Merion",0,0,1,0,2,45,3,2021,3,"PA",1,50,"Lower Merion","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",64642,64350,NA,NA,"","Lower Merion Township","PA","Northeast","Middle Atlantic","City",64350,"PA"
"185","Lower Paxton, PA","Lower Paxton",0,6,4,6,5,46,2,2023,2,"PA",16,53,"Lower Paxton","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",54552,55204,NA,NA,"","Lower Paxton Township","PA","Northeast","Middle Atlantic","City",55204,"PA"
"186","Lynchburg, VA","Lynchburg",1,2,2,22,23,129,9,2017,5,"VA",27,161,"Lynchburg","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",79421,79509,NA,NA,"","Lynchburg","VA","South","South Atlantic","City",79509,"VA"
"187","Lynn, MA","Lynn",0,2,4,29,14,69,11,2020,10,"MA",35,94,"Lynn","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",101056,101144,NA,NA,"","Lynn","MA","Northeast","New England","City",101144,"MA"
"188","Malden, MA","Malden",0,3,1,9,5,43,12,2020,7,"MA",13,60,"Malden","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",64356,64291,NA,NA,"","Malden","MA","Northeast","New England","City",64291,"MA"
"189","Manchester, CT","Manchester",0,2,3,2,7,126,21,2021,3,"CT",7,154,"Manchester","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",59293,59408,NA,NA,"","Manchester","CT","Northeast","New England","City",59408,"CT"
"190","Manchester, NH","Manchester",0,8,16,37,44,152,12,2017,1,"NH",61,208,"Manchester","https://www.manchesternh.gov/Departments/Police/Administrative-Division/Crime-Analysis/Interactive-Data-Dashboards","Agency Aggregated","Open Source",114650,114963,NA,NA,"","Manchester","NH","Northeast","New England","City",114963,"NH"
"191","Mansfield, TX","Mansfield",0,0,0,4,13,75,5,2024,1,"TX",4,93,"Mansfield","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",75993,78788,NA,NA,"","Mansfield","TX","South","West South Central","City",78788,"TX"
"192","Maple Grove, MN","Maple Grove",0,1,0,8,4,91,1,2024,7,"MN",9,96,"Maple Grove","https://cde.state.mn.us/","State UCR","Open Source",70935,70729,NA,NA,"","Maple Grove","MN","Midwest","West North Central","City",70729,"MN"
"193","Marana, AZ","Marana",0,1,0,1,5,99,0,2021,3,"AZ",2,104,"Marana","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",57119,57718,NA,NA,"","Marana","AZ","West","Mountain","City",57718,"AZ"
"194","Maricopa, AZ","Maricopa",0,0,1,7,4,45,4,2023,2,"AZ",8,53,"Maricopa","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",66525,70355,NA,NA,"","Maricopa","AZ","West","Mountain","City",70355,"AZ"
"195","McAllen, TX","McAllen",0,1,4,12,6,205,15,2024,1,"TX",17,226,"McAllen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",145510,145684,NA,NA,"","McAllen","TX","South","West South Central","City",145684,"TX"
"196","Mckinney, TX","Mckinney",0,3,2,10,17,96,17,2024,1,"TX",15,130,"Mckinney","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",208415,212716,NA,NA,"","McKinney","TX","South","West South Central","City",212716,"TX"
"197","Memphis, TN","Memphis",18,61,335,668,802,2132,394,2017,1,"TN",1082,3328,"Memphis","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency Aggregated","Open Source",624944,616061,NA,NA,"","Memphis","TN","South","East South Central","City",616061,"TN"
"198","Meridian, ID","Meridian",0,2,2,5,5,59,4,2022,1,"ID",9,68,"Meridian","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",132522,135239,NA,NA,"","Meridian","ID","West","Mountain","City",135239,"ID"
"199","Mesa, AZ","Mesa",2,26,34,125,109,664,99,2022,1,"AZ",187,872,"Mesa","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",513116,515848,NA,NA,"","Mesa","AZ","West","Mountain","City",515848,"AZ"
"200","Mesquite, TX","Mesquite",2,7,3,11,8,88,12,2024,1,"TX",23,108,"Mesquite","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",147226,147926,NA,NA,"","Mesquite","TX","South","West South Central","City",147926,"TX"
"201","Methuen, MA","Methuen",0,0,0,6,6,40,8,2020,8,"MA",6,54,"Methuen","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",52853,53558,NA,NA,"","Methuen","MA","Northeast","New England","City",53558,"MA"
"202","Miami Beach, FL","Miami Beach",0,8,25,21,47,603,39,2017,1,"FL",54,689,"Miami Beach","https://www.miamibeachfl.gov/yourmbpd/monthlycrimesdatareport/","Agency Aggregated","Open Source",89017,78824,NA,NA,"Population via FBI CIUS 2020","Miami Beach","FL","South","South Atlantic","City",78824,"FL"
"203","Milford, CT","Milford",0,3,4,2,3,60,20,2023,2,"CT",9,83,"Milford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",52694,53011,NA,NA,"","Milford","CT","Northeast","New England","City",53011,"CT"
"204","Millcreek, PA","Millcreek",0,2,1,6,2,28,0,2022,1,"PA",9,30,"Millcreek","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",53119,53119,NA,NA,"Erie County","Millcreek Township, Erie County","PA","Northeast","Middle Atlantic","City",53119,"PA"
"205","Milpitas, CA","Milpitas",0,NA,3,3,22,143,24,2017,1,"CA",6,189,"Milpitas","https://www.milpitas.gov/1107/Crime-and-Incident-Data","Agency Aggregated","Open Source",77790,76573,NA,NA,"","Milpitas","CA","West","Pacific","City",76573,"CA"
"206","Milwaukee, WI","Milwaukee",11,NA,NA,NA,NA,NA,NA,2017,1,"WI",11,0,"Milwaukee","https://data.milwaukee.gov/dataset/wibr","Agency RMS","Open Source",561743,558698,NA,NA,"","Milwaukee","WI","Midwest","East North Central","City",558698,"WI"
"207","Minneapolis, MN","Minneapolis",4,48,185,211,333,1325,172,2017,7,"MN",448,1830,"Minneapolis","https://cde.state.mn.us/","State UCR","Open Source",421690,422341,NA,NA,"","Minneapolis","MN","Midwest","West North Central","City",422341,"MN"
"208","Minnetonka, MN","Minnetonka",0,0,4,1,6,58,4,2022,12,"MN",5,68,"Minnetonka","https://cde.state.mn.us/","State UCR","Open Source",52309,51791,NA,NA,"","Minnetonka","MN","Midwest","West North Central","City",51791,"MN"
"209","Mission, TX","Mission",0,3,3,10,6,49,6,2024,1,"TX",16,61,"Mission","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",86577,87031,NA,NA,"","Mission","TX","South","West South Central","City",87031,"TX"
"210","Missouri City, TX","Missouri City",0,1,1,4,3,51,5,2024,1,"TX",6,59,"Missouri City","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",75323,77560,NA,NA,"","Missouri City","TX","South","West South Central","City",77560,"TX"
"211","Moline, IL","Moline",0,2,4,11,13,69,3,2017,1,"IL",17,85,"Moline","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",42009,42009,NA,NA,"","Moline","IL","Midwest","East North Central","City",41601,"IL"
"212","Mount Prospect, IL","Mount Prospect",0,0,1,0,4,50,4,2017,1,"IL",1,58,"Mount Prospect","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",53932,53932,NA,NA,"Inferred Jan-Mar 2021 counts from annual average","Mount Prospect","IL","Midwest","East North Central","City",53932,"IL"
"213","Mount Vernon, NY","Mount Vernon",0,3,7,23,13,85,14,2017,1,"NY",33,112,"Mount Vernon","https://www.cmvny.com/518/Annual-Reports-Monthly-Crime-Stats-Histo","Agency Aggregated","Open Source",71690,70812,NA,NA,"","Mount Vernon","NY","Northeast","Middle Atlantic","City",70812,"NY"
"214","Murfreesboro, TN","Murfreesboro",0,10,10,49,46,266,23,2017,1,"TN",69,335,"Murfreesboro","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",166916,166916,NA,NA,"","Murfreesboro","TN","South","East South Central","City",166916,"TN"
"215","Nampa, ID","Nampa",0,4,0,11,47,162,18,2018,7,"ID",15,227,"Nampa","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",111501,116116,NA,NA,"","Nampa","ID","West","Mountain","City",116116,"ID"
"216","Nashua, NH","Nashua",1,3,6,6,4,89,3,2017,1,"NH",16,96,"Nashua","https://crimestats.dos.nh.gov/","State UCR","Open Source",NA,91145,NA,NA,"","Nashua","NH","Northeast","New England","City",91145,"NH"
"217","Nashville, TN","Nashville",9,42,192,459,345,1537,238,2017,1,"TN",702,2120,"Nashville","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",679562,690495,NA,NA,"","Metropolitan Nashville Police Department","TN","South","East South Central","City",690495,"TN"
"218","National City, CA","National City",0,5,11,20,13,85,23,2019,2,"CA",36,121,"National City","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",55676,55270,NA,NA,"","National City","CA","West","Pacific","City",55270,"CA"
"219","New Braunfels, TX","New Braunfels",0,3,1,7,18,72,13,2024,1,"TX",11,103,"New Braunfels","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",107017,111942,NA,NA,"","New Braunfels","TX","South","West South Central","City",111942,"TX"
"220","New Britain, CT","New Britain",0,7,3,16,18,103,20,2022,1,"CT",26,141,"New Britain","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",73621,74609,NA,NA,"","New Britain","CT","Northeast","New England","City",74609,"CT"
"221","New Orleans, LA","New Orleans",23,25,114,116,250,959,218,2017,1,"LA",278,1427,"New Orleans","https://data.nola.gov/Public-Safety-and-Preparedness/Electronic-Police-Report-2024/c5iy-ew8n/explore/query/SELECT%0A%20%20%60item_number%60%2C%0A%20%20%60district%60%2C%0A%20%20%60location%60%2C%0A%20%20%60disposition%60%2C%0A%20%20%60signal_type%60%2C%0A%20%20%60signal_description%60%2C%0A%20%20%60occurred_date_time%60%2C%0A%20%20%60charge_code%60%2C%0A%20%20%60charge_description%60%2C%0A%20%20%60offender_number%60%2C%0A%20%20%60offenderid%60%2C%0A%20%20%60offenderstatus%60%2C%0A%20%20%60offender_race%60%2C%0A%20%20%60offender_gender%60%2C%0A%20%20%60offender_age%60%2C%0A%20%20%60victim_number%60%2C%0A%20%20%60persontype%60%2C%0A%20%20%60victim_race%60%2C%0A%20%20%60victim_gender%60%2C%0A%20%20%60victim_age%60%2C%0A%20%20%60victim_fatal_status%60%2C%0A%20%20%60hate_crime%60%2C%0A%20%20%60report_type%60/page/filter","Agency RMS","Open Source",370128,364197,NA,NA,"","New Orleans","LA","South","West South Central","City",364197,"LA"
"222","New York City, NY","New York City",24,112,1246,1646,1097,3580,462,2017,1,"NY",3028,5139,"New York City","https://compstat.nypdonline.org/","Agency Aggregated","Open Source",8236567,8184044,NA,NA,"","New York","NY","Northeast","Middle Atlantic","City",8184044,"NY"
"223","Newark, OH","Newark",1,0,1,11,11,56,3,2024,2,"OH",13,70,"Newark","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",50818,51147,NA,NA,"","Newark","OH","Midwest","East North Central","City",51147,"OH"
"224","Newport News, VA","Newport News",4,5,12,55,51,322,24,2017,4,"VA",76,397,"Newport News","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",183903,183600,NA,NA,"","Newport News","VA","South","South Atlantic","City",183600,"VA"
"225","Norfolk, VA","Norfolk",5,8,24,71,42,480,58,2020,2,"VA",108,580,"Norfolk","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",233419,230849,NA,NA,"","Norfolk","VA","South","South Atlantic","City",230849,"VA"
"226","Normal, IL","Normal",0,5,0,3,8,68,5,2017,1,"IL",8,81,"Normal","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",53613,52883,NA,NA,"","Normal","IL","Midwest","East North Central","City",52883,"IL"
"227","North Bergen Township, NJ","North Bergen Township",0,0,3,5,6,27,3,2017,1,"NJ",8,36,"North Bergen Township","http://www.northbergenpolice.com/report/datasets/crime-statistics/","Agency Aggregated","Open Source",58378,59147,NA,NA,"","North Bergen Township","NJ","Northeast","Middle Atlantic","City",59147,"NJ"
"228","North Las Vegas, NV","North Las Vegas",4,8,25,41,101,198,144,2022,2,"NV",78,443,"North Las Vegas","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",284422,290751,NA,NA,"","North Las Vegas","NV","West","Mountain","City",290751,"NV"
"229","North Richland Hills, TX","North Richland Hills",0,1,2,7,14,98,16,2024,1,"TX",10,128,"North Richland Hills","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",70108,70853,NA,NA,"","North Richland Hills","TX","South","West South Central","City",70853,"TX"
"230","Norwalk, CT","Norwalk",0,1,3,6,7,64,11,2018,2,"CT",10,82,"Norwalk","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",91414,91639,NA,NA,"","Norwalk","CT","Northeast","New England","City",91639,"CT"
"231","Novi, MI","Novi",0,1,1,10,0,32,1,2019,3,"MI",12,33,"Novi","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,66482,NA,NA,"","Novi","MI","Midwest","East North Central","City",66482,"MI"
"232","O'Fallon, MO","O'Fallon",0,2,0,8,10,72,10,2017,6,"MO",10,92,"O'Fallon","https://showmecrime.mo.gov/","State UCR","Open Source",95689,94702,NA,NA,"","O'Fallon","MO","Midwest","West North Central","City",94702,"MO"
"233","Oak Lawn, IL","Oak Lawn",1,0,3,1,9,38,1,2017,1,"IL",5,48,"Oak Lawn","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",55368,55368,NA,NA,"Inferred Jan 2021 counts from annual average","Oak Lawn","IL","Midwest","East North Central","City",55368,"IL"
"234","Oceanside, CA","Oceanside",1,5,11,35,64,298,49,2018,1,"CA",52,411,"Oceanside","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",171844,171348,NA,NA,"","Oceanside","CA","West","Pacific","City",171348,"CA"
"235","Odessa, TX","Odessa",0,8,3,24,23,151,34,2024,1,"TX",35,208,"Odessa","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110163,111922,NA,NA,"","Odessa","TX","South","West South Central","City",111922,"TX"
"236","Omaha, NE","Omaha",2,15,21,83,96,849,256,2024,1,"NE",121,1201,"Omaha","https://police.cityofomaha.org/opd-crime-statistics","Agency Aggregated","Open Source",483462,481471,NA,NA,"","Omaha","NE","Midwest","West North Central","City",481471,"NE"
"237","Oshkosh, WI","Oshkosh",0,1,4,11,13,77,5,2017,1,"WI",16,95,"Oshkosh","https://www.oshkoshpd.com/MonthlyCrimeStats/Default.aspx","Agency Aggregated","Open Source",66521,65548,NA,NA,"","Oshkosh","WI","Midwest","East North Central","City",65548,"WI"
"238","Palatine, IL","Palatine",0,0,2,1,3,36,1,2017,1,"IL",3,40,"Palatine","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",64407,64407,NA,NA,"Inferred Jan-Mar 2021 counts from annual average","Palatine","IL","Midwest","East North Central","City",64407,"IL"
"239","Parker, CO","Parker",0,2,1,2,12,45,4,2018,3,"CO",5,61,"Parker","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",61865,62431,NA,NA,"","Parker","CO","West","Mountain","City",62431,"CO"
"240","Parma, OH","Parma",0,2,1,4,5,46,8,2024,2,"OH",7,59,"Parma","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",79098,78913,NA,NA,"","Parma","OH","Midwest","East North Central","City",78913,"OH"
"241","Pasadena, TX","Pasadena",1,3,8,19,35,187,51,2024,1,"TX",31,273,"Pasadena","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",145954,145850,NA,NA,"","Pasadena","TX","South","West South Central","City",145850,"TX"
"242","Pawtucket, RI","Pawtucket",1,1,2,17,15,90,6,2021,2,"RI",21,111,"Pawtucket","https://riucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74967,75100,NA,NA,"","Pawtucket","RI","Northeast","New England","City",75100,"RI"
"243","Pearland, TX","Pearland",0,3,1,3,17,131,14,2024,1,"TX",7,162,"Pearland","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",125894,127433,NA,NA,"","Pearland","TX","South","West South Central","City",127433,"TX"
"244","Peoria, AZ","Peoria",0,8,4,18,42,204,19,2018,2,"AZ",30,265,"Peoria","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",197894,200886,NA,NA,"","Peoria","AZ","West","Mountain","City",200886,"AZ"
"245","Pflugerville, TX","Pflugerville",0,4,3,2,11,90,7,2024,1,"TX",9,108,"Pflugerville","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",67817,65599,NA,NA,"","Pflugerville","TX","South","West South Central","City",65599,"TX"
"246","Pharr, TX","Pharr",0,4,3,3,8,62,7,2024,1,"TX",10,77,"Pharr","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",79558,80359,NA,NA,"","Pharr","TX","South","West South Central","City",80359,"TX"
"247","Philadelphia, PA","Philadelphia",26,87,392,536,444,2532,367,2018,2,"PA",1041,3343,"Philadelphia","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",1555812,1550843,NA,NA,"","Philadelphia","PA","Northeast","Middle Atlantic","City",1550843,"PA"
"248","Phoenix, AZ","Phoenix",6,106,240,350,1008,2827,591,2017,1,"AZ",702,4426,"Phoenix","https://www.phoenixopendata.com/dataset/crime-data/resource/0ce3411a-2fc6-4302-a33f-167f68608a20","Agency RMS","Open Source",1637902,1660686,NA,NA,"","Phoenix","AZ","West","Mountain","City",1660686,"AZ"
"249","Pittsburgh, PA","Pittsburgh",4,NA,NA,NA,NA,NA,NA,2017,1,"PA",4,0,"Pittsburgh","https://app.powerbigov.us/view?r=eyJrIjoiMDYzNWMyNGItNWNjMS00ODMwLWIxZDgtMTNkNzhlZDE2OWFjIiwidCI6ImY1ZjQ3OTE3LWM5MDQtNDM2OC05MTIwLWQzMjdjZjE3NTU5MSJ9","Agency Aggregated","Open Source",303137,304825,NA,NA,"","Pittsburgh","PA","Northeast","Middle Atlantic","City",304825,"PA"
"250","Plano, TX","Plano",0,8,1,20,58,251,41,2024,1,"TX",29,350,"Plano","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",289847,291140,NA,NA,"","Plano","TX","South","West South Central","City",291140,"TX"
"251","Plymouth, MA","Plymouth",0,1,0,18,5,40,4,2024,7,"MA",19,49,"Plymouth","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",65779,68771,NA,NA,"","Plymouth","MA","Northeast","New England","City",68771,"MA"
"252","Plymouth, MN","Plymouth",0,0,0,2,10,48,11,2023,1,"MN",2,69,"Plymouth","https://cde.state.mn.us/","State UCR","Open Source",78585,77576,NA,NA,"","Plymouth","MN","Midwest","West North Central","City",77576,"MN"
"253","Pocatello, ID","Pocatello",0,2,2,16,11,52,13,2021,11,"ID",20,76,"Pocatello","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",57914,58390,NA,NA,"","Pocatello","ID","West","Mountain","City",58390,"ID"
"254","Port Arthur, TX","Port Arthur",0,1,4,14,17,27,8,2024,1,"TX",19,52,"Port Arthur","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55899,55371,NA,NA,"","Port Arthur","TX","South","West South Central","City",55371,"TX"
"255","Portland, OR","Portland",0,21,77,121,321,1502,670,2017,1,"OR",219,2493,"Portland","https://public.tableau.com/app/profile/portlandpolicebureau/viz/New_Monthly_Neighborhood/MonthlyOffenseTotals","Agency RMS","Open Source",630129,626146,NA,NA,"","Portland","OR","West","Pacific","City",626146,"OR"
"256","Portsmouth, VA","Portsmouth",4,1,11,48,30,270,44,2020,5,"VA",64,344,"Portsmouth","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",98003,96649,NA,NA,"","Portsmouth","VA","South","South Atlantic","City",96649,"VA"
"257","Prescott Valley, AZ","Prescott Valley",0,2,0,6,10,84,3,2017,1,"AZ",8,97,"Prescott Valley","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",50166,50166,NA,NA,"","Prescott Valley","AZ","West","Mountain","City",50166,"AZ"
"258","Providence, RI","Providence",1,3,11,29,22,200,40,2023,12,"RI",44,262,"Providence","https://riucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",189064,189590,NA,NA,"","Providence","RI","Northeast","New England","City",189590,"RI"
"259","Pueblo, CO","Pueblo",0,17,14,53,87,337,80,2018,3,"CO",84,504,"Pueblo","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",112618,111240,NA,NA,"","Pueblo","CO","West","Mountain","City",111240,"CO"
"260","Quincy, MA","Quincy",0,2,4,29,21,69,9,2018,4,"MA",35,99,"Quincy","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",101434,102465,NA,NA,"","Quincy","MA","Northeast","New England","City",102465,"MA"
"261","Raleigh, NC","Raleigh",0,12,45,60,191,680,69,2017,1,"NC",117,940,"Raleigh","https://data-ral.opendata.arcgis.com/datasets/ral::raleigh-police-incidents-nibrs/explore","Agency RMS","Open Source",470829,482842,NA,NA,"","Raleigh","NC","South","South Atlantic","City",482842,"NC"
