"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state_id","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"Abilene, TX","Abilene",2,6,2,35,27,137,11,2023,5,"TX","Abilene, TX,City",45,175,"Abilene","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",125186,128387,NA,NA,"","Abilene","TX","South","West South Central",128387
"Abington, PA","Abington",0,0,0,1,1,82,5,2024,6,"PA","Abington, PA,City",1,88,"Abington","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58432,58433,NA,NA,"","Abington Township, Montgomery County","PA","Northeast","Middle Atlantic",58433
"Ada, ID","Ada",0,2,1,12,6,38,6,2022,7,"ID","Ada, ID,County",15,50,"Ada","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,138487,NA,NA,"","Ada","ID","West","Mountain",138487
"Albany, GA","Albany",4,3,15,87,82,295,22,2017,6,"GA","Albany, GA,City",109,399,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",68613,66281,NA,NA,"","Albany","GA","South","South Atlantic",66281
"Albemarle, VA","Albemarle",0,3,0,6,11,112,5,2020,12,"VA","Albemarle, VA,County",9,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandria, VA","Alexandria",0,0,6,26,11,239,28,2023,2,"VA","Alexandria, VA,City",32,278,"Alexandria","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",150957,153897,NA,NA,"","Alexandria","VA","South","South Atlantic",153897
"Alhambra, CA","Alhambra",0,0,8,17,41,107,20,2018,3,"CA","Alhambra, CA,City",25,168,"Alhambra","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79703,79087,NA,NA,"","Alhambra","CA","West","Pacific",79087
"Allen, TX","Allen",0,5,1,3,11,125,3,2018,11,"TX","Allen, TX,City",9,139,"Allen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",108135,114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","Allen","TX","South","West South Central",114696
"Allentown, PA","Allentown",0,7,14,11,28,165,24,2018,6,"PA","Allentown, PA,City",32,217,"Allentown","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",125917,124782,NA,NA,"","Allentown","PA","Northeast","Middle Atlantic",124782
"Amarillo, TX","Amarillo",0,21,29,76,114,428,78,2018,3,"TX","Amarillo, TX,City",126,620,"Amarillo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201572,201684,NA,NA,"","Amarillo","TX","South","West South Central",201684
"Antioch, CA","Antioch",4,7,26,35,64,196,48,2018,7,"CA","Antioch, CA,City",72,308,"Antioch","https://www.antiochca.gov/police/crime-statistics/","Agency Aggregated","Open Source",114338,115271,NA,NA,"","Antioch","CA","West","Pacific",115271
"Arlington Heights, IL","Arlington Heights",0,1,1,2,8,34,2,2024,8,"IL","Arlington Heights, IL,City",4,44,"Arlington Heights","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,74094,NA,NA,"","Arlington Heights","IL","Midwest","East North Central",74094
"Arlington, TX","Arlington",2,36,25,148,72,638,104,2022,4,"TX","Arlington, TX,City",211,814,"Arlington","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",391591,394799,NA,NA,"","Arlington","TX","South","West South Central",394799
"Arlington, VA","Arlington",1,5,6,19,19,197,18,2018,10,"VA","Arlington, VA,County",31,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asheville, NC","Asheville",1,NA,12,20,64,229,21,2018,9,"NC","Asheville, NC,City",33,314,"Asheville","https://data-avl.opendata.arcgis.com/datasets/fa266be763124be89fee8c1fd99f88ff_3/explore","Agency RMS","Open Source",93729,93471,NA,NA,"","Asheville","NC","South","South Atlantic",93471
"Atlanta, GA","Atlanta",20,NA,80,233,153,1042,275,2020,8,"GA","Atlanta, GA,City",333,1470,"Atlanta","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",495707,500212,NA,NA,"","Atlanta","GA","South","South Atlantic",500212
"Austin, TX","Austin",6,53,94,263,406,2540,260,2019,7,"TX","Austin, TX,City",416,3206,"Austin","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",965234,978816,NA,NA,"","Austin","TX","South","West South Central",978816
"Avondale, AZ","Avondale",0,0,4,13,10,197,16,2020,4,"AZ","Avondale, AZ,City",17,223,"Avondale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",91467,92661,NA,NA,"","Avondale","AZ","West","Mountain",92661
"Baltimore, MD","Baltimore",35,16,400,664,332,1287,315,2022,7,"MD","Baltimore, MD,City",1115,1934,"Baltimore","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",570546,565192,NA,NA,"","Baltimore","MD","South","South Atlantic",565192
"Baltimore, MD","Baltimore",3,NA,56,223,133,1037,103,2020,6,"MD","Baltimore, MD,County",282,1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baytown, TX","Baytown",0,4,5,17,14,143,31,2023,11,"TX","Baytown, TX,City",26,188,"Baytown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",81477,83809,NA,NA,"","Baytown","TX","South","West South Central",83809
"Beaumont, TX","Beaumont",1,12,21,85,58,206,24,2023,10,"TX","Beaumont, TX,City",119,288,"Beaumont","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110898,110671,NA,NA,"","Beaumont","TX","South","West South Central",110671
"Bellevue, NE","Bellevue",0,6,1,3,6,45,26,2023,2,"NE","Bellevue, NE,City",10,77,"Bellevue","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",63178,62372,NA,NA,"","Bellevue","NE","Midwest","West North Central",62372
"Bellingham, WA","Bellingham",0,NA,9,NA,NA,230,12,2024,9,"WA","Bellingham, WA,City",9,242,"Bellingham","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",93014,94968,NA,NA,"","Bellingham","WA","West","Pacific",94968
"Bensalem, PA","Bensalem",0,0,5,2,16,116,7,2021,9,"PA","Bensalem, PA,City",7,139,"Bensalem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",62782,62595,NA,NA,"","Bensalem Township","PA","Northeast","Middle Atlantic",62595
"Bethlehem, PA","Bethlehem",0,2,2,4,5,91,6,2023,3,"PA","Bethlehem, PA,City",8,102,"Bethlehem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",75619,78606,NA,NA,"Inferred Dec 2019 from annual average","Bethlehem","PA","Northeast","Middle Atlantic",78606
"Blue Springs, MO","Blue Springs",0,1,2,5,13,104,10,2019,4,"MO","Blue Springs, MO,City",8,127,"Blue Springs","https://showmecrime.mo.gov/","State UCR","Open Source",60093,59896,NA,NA,"","Blue Springs","MO","Midwest","West North Central",59896
"Bolingbrook, IL","Bolingbrook",1,4,3,13,5,54,1,2017,6,"IL","Bolingbrook, IL,City",21,60,"Bolingbrook","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",73364,74138,NA,NA,"","Bolingbrook","IL","Midwest","East North Central",74138
"Brazoria, TX","Brazoria",1,6,2,19,25,79,13,2023,1,"TX","Brazoria, TX,County",28,117,"Brazoria","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",132229,132229,NA,NA,"","Brazoria","TX","South","West South Central",132229
"Bridgeport, CT","Bridgeport",1,8,39,49,49,121,43,2019,6,"CT","Bridgeport, CT,City",97,213,"Bridgeport","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",148395,148483,NA,NA,"","Bridgeport","CT","Northeast","New England",148483
"Bristol, CT","Bristol",0,1,2,1,13,34,33,2023,4,"CT","Bristol, CT,City",4,80,"Bristol","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",60657,61609,NA,NA,"","Bristol","CT","Northeast","New England",61609
"Brownsville, TX","Brownsville",2,7,12,36,32,217,6,2020,7,"TX","Brownsville, TX,City",57,255,"Brownsville","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",188906,190590,NA,NA,"","Brownsville","TX","South","West South Central",190590
"Buckeye, AZ","Buckeye",0,2,1,15,11,82,5,2022,5,"AZ","Buckeye, AZ,City",18,98,"Buckeye","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",110002,112048,NA,NA,"","Buckeye","AZ","West","Mountain",112048
"Buffalo, NY","Buffalo",4,14,93,138,228,688,83,2018,9,"NY","Buffalo, NY,City",249,999,"Buffalo","https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data","Agency Aggregated","Open Source",275710,275922,NA,NA,"","Buffalo","NY","Northeast","Middle Atlantic",275922
"Burbank, CA","Burbank",0,2,6,12,26,159,17,2018,12,"CA","Burbank, CA,City",20,202,"Burbank","https://www.burbankpd.org/crime-information/crime-statistics/","Agency Aggregated","Open Source",103516,102345,NA,NA,"","Burbank","CA","West","Pacific",102345
"Burleson, TX","Burleson",0,0,0,6,7,46,9,2024,2,"TX","Burleson, TX,City",6,62,"Burleson","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55356,56307,NA,NA,"","Burleson","TX","South","West South Central",56307
"Caldwell, ID","Caldwell",0,2,0,20,12,67,9,2022,3,"ID","Caldwell, ID,City",22,88,"Caldwell","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",66940,68731,NA,NA,"","Caldwell","ID","West","Mountain",68731
"Carlsbad, CA","Carlsbad",0,2,3,10,29,143,17,2019,11,"CA","Carlsbad, CA,City",15,189,"Carlsbad","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",115531,113796,NA,NA,"","Carlsbad","CA","West","Pacific",113796
"Carrollton, TX","Carrollton",0,4,9,4,39,112,21,2017,7,"TX","Carrollton, TX,City",17,172,"Carrollton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",133610,134261,NA,NA,"Inferred Aug-Dec 2019 from annual average","Carrollton","TX","South","West South Central",134261
"Casa Grande, AZ","Casa Grande",0,2,1,20,8,62,17,2024,9,"AZ","Casa Grande, AZ,City",23,87,"Casa Grande","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",61271,63228,NA,NA,"","Casa Grande","AZ","West","Mountain",63228
"Cedar Park, TX","Cedar Park",0,3,0,4,5,66,13,2021,8,"TX","Cedar Park, TX,City",7,84,"Cedar Park","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",79353,77464,NA,NA,"","Cedar Park","TX","South","West South Central",77464
"Champaign, IL","Champaign",0,7,4,32,39,209,19,2019,6,"IL","Champaign, IL,City",43,267,"Champaign","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",89815,89687,NA,NA,"","Champaign","IL","Midwest","East North Central",89687
"Chandler, AZ","Chandler",0,16,9,33,37,353,20,2018,9,"AZ","Chandler, AZ,City",58,410,"Chandler","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",281373,282419,NA,NA,"","Chandler","AZ","West","Mountain",282419
"Charlotte, NC","Charlotte",7,34,170,263,375,2276,261,2019,5,"NC","Charlotte, NC,City",474,2912,"Charlotte","https://data.charlottenc.gov/search?q=CMPD","Agency RMS","Open Source",955466,979304,NA,NA,"","Charlotte-Mecklenburg","NC","South","South Atlantic",979304
"Chattanooga, TN","Chattanooga",1,9,12,81,68,564,87,2022,12,"TN","Chattanooga, TN,City",103,719,"Chattanooga","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",182603,185370,NA,NA,"","Chattanooga","TN","South","East South Central",185370
"Chesapeake, VA","Chesapeake",1,8,9,102,30,234,44,2021,4,"VA","Chesapeake, VA,City",120,308,"Chesapeake","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",253745,254051,NA,NA,"","Chesapeake","VA","South","South Atlantic",254051
"Chesterfield, VA","Chesterfield",3,7,8,44,47,380,28,2021,12,"VA","Chesterfield, VA,County",62,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheyenne, WY","Cheyenne",0,2,0,11,17,138,17,2017,4,"WY","Cheyenne, WY,City",13,172,"Cheyenne","https://crimestats.wyo.gov/public/View/dispview.aspx","State UCR","Open Source",64610,64307,NA,NA,"","Cheyenne","WY","West","Mountain",64307
"Chicago, IL","Chicago",55,175,768,1488,673,5416,2011,2024,8,"IL","Chicago, IL,City",2486,8100,"Chicago","https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2/explore/query/SELECT%0A%20%20%60id%60%2C%0A%20%20%60case_number%60%2C%0A%20%20%60date%60%2C%0A%20%20%60block%60%2C%0A%20%20%60iucr%60%2C%0A%20%20%60primary_type%60%2C%0A%20%20%60description%60%2C%0A%20%20%60location_description%60%2C%0A%20%20%60arrest%60%2C%0A%20%20%60domestic%60%2C%0A%20%20%60beat%60%2C%0A%20%20%60district%60%2C%0A%20%20%60ward%60%2C%0A%20%20%60community_area%60%2C%0A%20%20%60fbi_code%60%2C%0A%20%20%60x_coordinate%60%2C%0A%20%20%60y_coordinate%60%2C%0A%20%20%60year%60%2C%0A%20%20%60updated_on%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60location%60%2C%0A%20%20%60%3A%40computed_region_awaf_s7ux%60%2C%0A%20%20%60%3A%40computed_region_6mkv_f3dw%60%2C%0A%20%20%60%3A%40computed_region_vrxf_vc4k%60%2C%0A%20%20%60%3A%40computed_region_bdys_3d7i%60%2C%0A%20%20%60%3A%40computed_region_43wa_7qmu%60%2C%0A%20%20%60%3A%40computed_region_rpca_8um6%60%2C%0A%20%20%60%3A%40computed_region_d9mm_jgwp%60%2C%0A%20%20%60%3A%40computed_region_d3ds_rm58%60%2C%0A%20%20%60%3A%40computed_region_8hcu_yrd4%60%0AORDER%20BY%20%60date%60%20DESC%20NULL%20FIRST/page/filter","Agency RMS","Open Source",2652124,2628298,NA,NA,"","Chicago","IL","Midwest","East North Central",2628298
"Chula Vista, CA","Chula Vista",0,6,25,41,40,202,61,2017,7,"CA","Chula Vista, CA,City",72,303,"Chula Vista","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",277976,280748,NA,NA,"","Chula Vista","CA","West","Pacific",280748
"Cicero, IL","Cicero",1,3,16,14,21,43,19,2021,5,"IL","Cicero, IL,City",34,83,"Cicero","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",81492,80455,NA,NA,"","Cicero","IL","Midwest","East North Central",80455
"Coeur D Alene, ID","Coeur D Alene",0,5,0,6,7,61,11,2018,4,"ID","Coeur D Alene, ID,City",11,79,"Coeur D Alene","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",57061,57653,NA,NA,"","Coeur d'Alene","ID","West","Mountain",57653
"College Station, TX","College Station",0,2,1,11,35,136,14,2020,6,"TX","College Station, TX,City",14,185,"College Station","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",121618,126136,NA,NA,"","College Station","TX","South","West South Central",126136
"Columbia, MO","Columbia",3,9,16,66,57,173,13,2017,3,"MO","Columbia, MO,City",94,243,"Columbia","https://showmecrime.mo.gov/","State UCR","Open Source",127862,129602,NA,NA,"","Columbia","MO","Midwest","West North Central",129602
"Columbus, OH","Columbus",11,NA,NA,NA,NA,NA,NA,2017,11,"OH","Columbus, OH,City",11,0,"Columbus","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",907196,908834,NA,NA,"","Columbus","OH","Midwest","East North Central",908834
"Concord, CA","Concord",0,11,12,27,45,297,69,2017,10,"CA","Concord, CA,City",50,411,"Concord","https://www.cityofconcord.org/1197/2024-Crime-Statistics","Agency Aggregated","Open Source",122982,121331,NA,NA,"","Concord","CA","West","Pacific",121331
"Conroe, TX","Conroe",0,3,8,7,33,156,15,2017,1,"TX","Conroe, TX,City",18,204,"Conroe","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",98623,106904,NA,NA,"","Conroe","TX","South","West South Central",106904
"Corpus Christi, TX","Corpus Christi",3,26,28,182,221,641,61,2022,3,"TX","Corpus Christi, TX,City",239,923,"Corpus Christi","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",317694,315340,NA,NA,"","Corpus Christi","TX","South","West South Central",315340
"Cranston, RI","Cranston",0,3,1,4,4,62,9,2020,1,"RI","Cranston, RI,City",8,75,"Cranston","https://riucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",82205,82484,NA,NA,"","Cranston","RI","Northeast","New England",82484
"Dallas, TX","Dallas",17,57,214,707,517,2211,1028,2021,6,"TX","Dallas, TX,City",995,3756,"Dallas","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",1286121,1304989,NA,NA,"","Dallas","TX","South","West South Central",1304989
"Danbury, CT","Danbury",1,3,4,2,6,57,6,2021,3,"CT","Danbury, CT,City",10,69,"Danbury","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",87164,87327,NA,NA,"","Danbury","CT","Northeast","New England",87327
"Decatur, IL","Decatur",1,6,6,27,35,88,16,2022,3,"IL","Decatur, IL,City",40,139,"Decatur","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68789,68301,NA,NA,"","Decatur","IL","Midwest","East North Central",68301
"Denton, TX","Denton",0,10,11,13,27,227,17,2019,1,"TX","Denton, TX,City",34,271,"Denton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",154230,155215,NA,NA,"","Denton","TX","South","West South Central",155215
"Denton, TX","Denton",0,3,0,5,16,35,2,2018,10,"TX","Denton, TX,County",8,53,"Denton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",160587,160587,NA,NA,"","Denton","TX","South","West South Central",160587
"Desoto, TX","Desoto",0,5,5,10,18,46,25,2023,5,"TX","Desoto, TX,City",20,89,"Desoto","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55956,56257,NA,NA,"","DeSoto","TX","South","West South Central",56257
"Detroit, MI","Detroit",32,80,218,883,644,1267,557,2018,8,"MI","Detroit, MI,City",1213,2468,"Detroit","https://data.detroitmi.gov/datasets/rms-crime-incidents","Agency RMS","Open Source",626757,615501,NA,NA,"","Detroit","MI","Midwest","East North Central",615501
"Dunwoody, GA","Dunwoody",0,1,0,3,9,138,14,2017,1,"GA","Dunwoody, GA,City",4,161,"Dunwoody","https://www.dunwoodyga.gov/police/crime-info-stats/crime-comparison","Agency Aggregated","Open Source",50271,52505,NA,NA,"","Dunwoody","GA","South","South Atlantic",52505
"Durham, NC","Durham",1,8,88,147,207,701,53,2017,10,"NC","Durham, NC,City",244,961,"Durham","https://www.durhamnc.gov/Archive.aspx?AMID=195","Agency Aggregated","Open Source",286377,295788,NA,NA,"","Durham","NC","South","South Atlantic",295788
"East Hartford, CT","East Hartford",0,4,8,1,7,85,14,2018,4,"CT","East Hartford, CT,City",13,106,"East Hartford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",50579,50625,NA,NA,"","East Hartford","CT","Northeast","New England",50625
"Edinburg, TX","Edinburg",0,5,1,15,13,173,17,2024,12,"TX","Edinburg, TX,City",21,203,"Edinburg","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",104987,106137,NA,NA,"","Edinburg","TX","South","West South Central",106137
"El Cajon, CA","El Cajon",0,3,10,24,14,85,23,2023,4,"CA","El Cajon, CA,City",37,122,"El Cajon","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",104693,103569,NA,NA,"","El Cajon","CA","West","Pacific",103569
"El Paso, TX","El Paso",5,19,31,140,102,594,233,2023,9,"TX","El Paso, TX,City",195,929,"El Paso","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",678232,676665,NA,NA,"","El Paso","TX","South","West South Central",676665
"El Paso, TX","El Paso",0,1,2,30,13,48,14,2022,12,"TX","El Paso, TX,County",33,75,"El Paso","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",116599,116599,NA,NA,"","El Paso","TX","South","West South Central",116599
"Erie, PA","Erie",0,6,6,31,35,215,14,2022,6,"PA","Erie, PA,City",43,264,"Erie","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",93363,92920,NA,NA,"","Erie","PA","Northeast","Middle Atlantic",92920
"Escondido, CA","Escondido",0,7,10,36,28,122,44,2021,7,"CA","Escondido, CA,City",53,194,"Escondido","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",150072,149837,NA,NA,"","Escondido","CA","West","Pacific",149837
"Euless, TX","Euless",0,0,1,3,24,51,2,2017,6,"TX","Euless, TX,City",4,77,"Euless","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",59901,59722,NA,NA,"","Euless","TX","South","West South Central",59722
"Evanston, IL","Evanston",0,0,4,8,14,75,3,2018,1,"IL","Evanston, IL,City",12,92,"Evanston","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",76259,74413,NA,NA,"","Evanston","IL","Midwest","East North Central",74413
"Fairfax, VA","Fairfax",1,12,21,38,40,793,116,2020,5,"VA","Fairfax, VA,County",72,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fayetteville, NC","Fayetteville",2,NA,14,76,78,338,38,2021,2,"NC","Fayetteville, NC,City",92,454,"Fayetteville","https://data.fayettevillenc.gov/search?tags=incidents","Agency RMS","Open Source",208980,209262,NA,NA,"","Fayetteville","NC","South","South Atlantic",209262
"Flower Mound, TX","Flower Mound",0,1,1,2,2,58,3,2017,6,"TX","Flower Mound, TX,City",4,63,"Flower Mound","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",78167,79513,NA,NA,"","Flower Mound","TX","South","West South Central",79513
"Fort Bend, TX","Fort Bend",0,10,9,45,47,188,16,2017,11,"TX","Fort Bend, TX,County",64,251,"Fort Bend","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",578695,578695,NA,NA,"","Fort Bend","TX","South","West South Central",578695
"Fort Worth, TX","Fort Worth",14,54,62,312,315,1448,306,2021,9,"TX","Fort Worth, TX,City",442,2069,"Fort Worth","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",948605,973722,NA,NA,"","Fort Worth","TX","South","West South Central",973722
"Fremont, CA","Fremont",0,1,16,31,69,370,130,2023,5,"CA","Fremont, CA,City",48,569,"Fremont","https://www.fremontpolice.gov/","Agency Aggregated","Provided by Agency",223430,220775,NA,NA,"","Fremont","CA","West","Pacific",220775
"Frisco, TX","Frisco",0,5,3,10,24,185,8,2020,2,"TX","Frisco, TX,City",18,217,"Frisco","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",218962,228527,NA,NA,"","Frisco","TX","South","West South Central",228527
"Galveston, TX","Galveston",0,11,8,12,18,106,15,2017,3,"TX","Galveston, TX,City",31,139,"Galveston","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",52920,52810,NA,NA,"","Galveston","TX","South","West South Central",52810
"Garland, TX","Garland",0,11,30,30,86,330,110,2020,1,"TX","Garland, TX,City",71,526,"Garland","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",241095,240051,NA,NA,"","Garland","TX","South","West South Central",240051
"Georgetown, TX","Georgetown",0,2,1,6,14,53,7,2018,5,"TX","Georgetown, TX,City",9,74,"Georgetown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83371,87871,NA,NA,"","Georgetown","TX","South","West South Central",87871
"Gilbert, AZ","Gilbert",0,3,2,7,22,196,9,2018,8,"AZ","Gilbert, AZ,City",12,227,"Gilbert","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",277123,278495,NA,NA,"","Gilbert","AZ","West","Mountain",278495
"Glendale, AZ","Glendale",4,3,16,32,112,525,72,2019,4,"AZ","Glendale, AZ,City",55,709,"Glendale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",250466,253768,NA,NA,"","Glendale","AZ","West","Mountain",253768
